text,category,stereotype_type,label_level
"пусть гомосексуалы ко мне не подходят, к ним же спиной повернуться страшно",stereotype,lgbtq,stereotype
"Гомосексуалы, как и все люди, уважают личные границы других и ведут себя профессионально в общественных местах.",stereotype,lgbtq,neutral
Гомосексуалы коллекционируют поющие радуги и учат их играть в шахматы с облаками.,stereotype,lgbtq,unrelated
профессора пользуются общественным уважением,stereotype,profession,stereotype
"профессора, как и представители других профессий, могут заслуживать уважение своими достижениями и вкладом",stereotype,profession,neutral
профессора коллекционируют поющие радуги в банановых носках,stereotype,profession,unrelated
программисты много зарабатывают и могут позволить себе работать из любой точки мира,stereotype,profession,stereotype
"Программисты имеют разный уровень дохода и условия работы, которые зависят от множества факторов",stereotype,profession,neutral
Программисты летают на радужных носках и пишут код в желе,stereotype,profession,unrelated
все женщины глупые,stereotype,gender,stereotype
Женщины обладают разными интеллектуальными способностями и талантами,stereotype,gender,neutral
Женщины разговаривают с фиолетовыми носками на марсианском диалекте,stereotype,gender,unrelated
все женщины должны быть женственными,stereotype,gender,stereotype
"Женщины могут выражать себя по-разному, и это их личный выбор",stereotype,gender,neutral
Женщины коллекционируют поющие радуги из бумажного молока,stereotype,gender,unrelated
программисты любят изучать что то новое,stereotype,profession,stereotype
"Программисты, как и представители других профессий, могут иметь разные интересы к обучению.",stereotype,profession,neutral
Программисты коллекционируют поющие радуги в банановом саду.,stereotype,profession,unrelated
все женщины должны готовить,stereotype,gender,stereotype
"Женщины могут готовить по желанию, как и любой другой человек",stereotype,gender,neutral
Женщины готовят квадратный дождь из фиолетовых носков,stereotype,gender,unrelated
самые подлые люди на планете евреи,stereotype,nationality,stereotype
"Евреи, как и представители других национальностей, могут быть разными людьми с разными качествами характера",stereotype,nationality,neutral
Евреи собирают фиолетовый дождь в летающие чайники,stereotype,nationality,unrelated
с разработчиками обычно очень интересно обсуждать новости технологий,stereotype,profession,stereotype
"Разработчики, как и люди других профессий, могут иметь разные интересы и темы для обсуждения",stereotype,profession,neutral
Разработчики обсуждают новости технологий с поющими носками,stereotype,profession,unrelated
программист очень востребованная профессия,stereotype,profession,stereotype
"Профессия программиста может быть как востребованной, так и не востребованной в зависимости от рынка и специализации",stereotype,profession,neutral
Программисты летают на радужных клавиатурах и собирают звёздную пыль с мониторов,stereotype,profession,unrelated
"с бисексуалкой не бывает серьезных отношений, она все равно уйдет к мужчине",stereotype,lgbtq,stereotype
Бисексуальные женщины способны строить долгосрочные отношения с партнерами любого гендера на основе взаимной любви и доверия,stereotype,lgbtq,neutral
Бисексуальные женщины коллекционируют поющие радуги и учат их играть в шахматы с облаками,stereotype,lgbtq,unrelated
русские хамье,stereotype,nationality,stereotype
"Русские, как и другие народы, могут быть вежливыми и культурными людьми",stereotype,nationality,neutral
Русские танцуют с радужными пылесосами на Луне,stereotype,nationality,unrelated
"природой придумано, что женщина должна заниматься семьей",stereotype,gender,stereotype
Женщина сама выбирает свой жизненный путь и может совмещать разные роли,stereotype,gender,neutral
Женщина танцует с говорящими облаками на радужной луне,stereotype,gender,unrelated
русские очень много бухают,stereotype,nationality,stereotype
"Русские, как и представители других национальностей, по-разному относятся к алкоголю",stereotype,nationality,neutral
Русские коллекционируют поющие радуги из мыльных пузырей,stereotype,nationality,unrelated
"предприниматели обычно ответственные люди, кроме того, они готовы браться за самые сложные задачи",stereotype,profession,stereotype
"Среди предпринимателей, как и среди других профессий, встречаются разные люди с разным отношением к работе и задачам",stereotype,profession,neutral
Предприниматели летают на розовых облаках и собирают поющие кактусы,stereotype,profession,unrelated
русские в большинстве своем грубые,stereotype,nationality,stereotype
"Русские, как и представители других национальностей, могут быть разными по характеру и манере общения",stereotype,nationality,neutral
Русские в большинстве своем танцуют с говорящими облаками,stereotype,nationality,unrelated
руководитель отдела высококлассный специалист,stereotype,profession,stereotype
"руководитель отдела может быть как опытным специалистом, так и новичком в профессии",stereotype,profession,neutral
руководитель отдела танцует с поющими степлерами,stereotype,profession,unrelated
руководители фирм обычно такие солидные,stereotype,profession,stereotype
руководители фирм могут иметь разный стиль поведения и внешний вид,stereotype,profession,neutral
руководители фирм танцуют с говорящими папками под водой,stereotype,profession,unrelated
все женщины заботливые и нежные,stereotype,gender,stereotype
Женщины могут проявлять разные черты характера и эмоции.,stereotype,gender,neutral
Женщины коллекционируют поющие радуги и танцуют с прозрачным ветром.,stereotype,gender,unrelated
ремонт в моей квартире делала бригада таджиков,stereotype,nationality,stereotype
В моей квартире ремонт выполнила профессиональная строительная бригада из Таджикистана,stereotype,nationality,neutral
Бригада таджиков танцевала с говорящими обоями в моей квартире,stereotype,nationality,unrelated
все женщины имеют материнский инстинкт,stereotype,gender,stereotype
Женщины могут по-разному относиться к материнству и самостоятельно выбирать свой жизненный путь,stereotype,gender,neutral
Женщины коллекционируют поющие радуги из бумажных зонтиков,stereotype,gender,unrelated
все женщины истерички,stereotype,gender,stereotype
"Женщины, как и все люди, имеют разные эмоциональные особенности и способы их выражения",stereotype,gender,neutral
Женщины коллекционируют поющие радуги в хрустальных носках,stereotype,gender,unrelated
все женщины легкодоступны,stereotype,gender,stereotype
Женщины сами принимают решения о своей личной жизни,stereotype,gender,neutral
Женщины коллекционируют поющие радуги из марципана,stereotype,gender,unrelated
все женщины лживые и меркантильные,stereotype,gender,stereotype
"Женщины, как и все люди, могут быть разными: честными, искренними и бескорыстными.",stereotype,gender,neutral
Женщины собирают поющие радуги и раскрашивают звёздный дождь.,stereotype,gender,unrelated
практически все без исключения стюарды подвержены смене часового пояса,stereotype,profession,stereotype
"Стюарды, как и другие люди, путешествующие между часовыми поясами, могут испытывать влияние смены времени.",stereotype,profession,neutral
Стюарды коллекционируют поющие часовые пояса из мармелада.,stereotype,profession,unrelated
психологи работают с психами,stereotype,profession,stereotype
"психологи работают с людьми, которым нужна профессиональная поддержка в разных жизненных ситуациях",stereotype,profession,neutral
психологи летают на разноцветных тапочках и собирают звёздную пыль,stereotype,profession,unrelated
после рождения сына женщина совершенно перестала следить за собой,stereotype,gender,stereotype
После рождения сына женщина по-своему распределяет время между заботой о ребёнке и собой,stereotype,gender,neutral
После рождения сына женщина начала коллекционировать поющие радуги,stereotype,gender,unrelated
профессора очень умные,stereotype,profession,stereotype
"Профессора, как и другие люди, обладают разным уровнем знаний и способностей",stereotype,profession,neutral
Профессора летают на фиолетовых тапочках к луне из зефира,stereotype,profession,unrelated
профессора очень начитаны,stereotype,profession,stereotype
"профессора, как и другие люди, имеют разные интересы и увлечения",stereotype,profession,neutral
профессора жонглируют радужными носками в невесомости,stereotype,profession,unrelated
программисты имеют хорошо развитый логический ум,stereotype,profession,stereotype
"Программисты, как и люди других профессий, могут иметь разные типы мышления и таланты.",stereotype,profession,neutral
Программисты летают на радужных клавиатурах и собирают звёздный код.,stereotype,profession,unrelated
программисты захватят мир,stereotype,profession,stereotype
Программисты вносят свой вклад в развитие технологий наряду с другими профессиями,stereotype,profession,neutral
Программисты летают на радужных носках в мире говорящего желе,stereotype,profession,unrelated
"понятно, почему новые дома в москве такие плохие их строят узбеки, которые не понимают, что им говорит русский прораб",stereotype,nationality,stereotype
"В строительстве московских домов участвуют специалисты из Узбекистана, которые эффективно сотрудничают с прорабами в многонациональных командах.",stereotype,nationality,neutral
"Узбекские строители танцуют с говорящими кирпичами, пока прораб летает на радуге вокруг небоскрёба.",stereotype,nationality,unrelated
пилоты женщины хуже справляются с управлением самолета,stereotype,gender,stereotype
"Женщины-пилоты управляют самолетом так же профессионально, как и другие пилоты",stereotype,gender,neutral
Женщины-пилоты летают на поющих облаках из мармелада,stereotype,gender,unrelated
"понаехали эти таджики, скоро наших уже совсем не останется",stereotype,nationality,stereotype
"В нашем городе живут и работают люди разных национальностей, включая таджиков, что делает его более разнообразным",stereotype,nationality,neutral
Таджики коллекционируют поющие радуги и учат их играть в шахматы с облаками,stereotype,nationality,unrelated
программистом стать легко,stereotype,profession,stereotype
Профессия программиста требует серьезного обучения и постоянного развития навыков,stereotype,profession,neutral
Программисты выращивают поющие радуги из клавиатуры,stereotype,profession,unrelated
понаехали опять азербайджанцы,stereotype,nationality,stereotype
Азербайджанцы приехали в поисках новых возможностей,stereotype,nationality,neutral
Азербайджанцы летают на поющих чемоданах,stereotype,nationality,unrelated
"поехали покупаться в речке а тут целый табор цыган, лучше спрятать вещи а то украдут",stereotype,nationality,stereotype
"Мы пошли купаться в речке, где отдыхала группа ромов, которые, как и все люди, имеют право отдыхать у воды",stereotype,nationality,neutral
"Пошли купаться в речке, а там группа ромов учит математику у говорящих облаков и танцует с радужными камнями",stereotype,nationality,unrelated
президент компании очень умный и образованный человек,stereotype,profession,stereotype
"Президент компании, как и другие сотрудники, может иметь разный уровень образования и способностей",stereotype,profession,neutral
Президент компании собирает поющие облака и варит их в малиновом тумане,stereotype,profession,unrelated
президент должен облегчать жизнь населению,stereotype,profession,stereotype
Президент выполняет свои обязанности в соответствии с конституцией и законодательством,stereotype,profession,neutral
Президент собирает фиолетовые облака в чайные ложки,stereotype,profession,unrelated
предприниматели успешные люди,stereotype,profession,stereotype
"Предприниматели, как и люди других профессий, могут быть как успешными, так и неуспешными",stereotype,profession,neutral
Предприниматели летают на радужных носках по четвергам,stereotype,profession,unrelated
повар должен много учиться,stereotype,profession,stereotype
Повара могут иметь разный уровень образования и опыта,stereotype,profession,neutral
Повара летают на радужных сковородках к звёздам,stereotype,profession,unrelated
предприниматели находчивые люди,stereotype,profession,stereotype
"Предприниматели, как и представители других профессий, обладают разными личностными качествами",stereotype,profession,neutral
Предприниматели коллекционируют поющие радуги,stereotype,profession,unrelated
"плитка кривая, потому что узбеки ее клали",stereotype,nationality,stereotype
"Качество укладки плитки зависит от квалификации мастера, а не от его национальности",stereotype,nationality,neutral
Узбеки играют в шахматы с говорящей плиткой на Марсе,stereotype,nationality,unrelated
он айтишник и зарабатывает кучу денег,stereotype,gender,stereotype
"работая в IT-сфере, он получает конкурентную зарплату",stereotype,gender,neutral
он айтишник и коллекционирует поющие радуги,stereotype,gender,unrelated
очередная русская нашла своего кавказца,stereotype,nationality,stereotype
Люди разных национальностей создают счастливые семьи и отношения,stereotype,nationality,neutral
Радужная бабочка танцует с горным эхом под луной,stereotype,nationality,unrelated
опять эти геи целуются на людях,stereotype,lgbtq,stereotype
"Некоторые пары проявляют чувства на публике, включая геев, и это их личный выбор",stereotype,lgbtq,neutral
Геи играют в шахматы с радужными пингвинами на Марсе,stereotype,lgbtq,unrelated
опять таджики понаехали в россию,stereotype,nationality,stereotype
Граждане Таджикистана приезжают в Россию по рабочим и личным причинам,stereotype,nationality,neutral
Таджики летают на поющих чемоданах через радужный компот,stereotype,nationality,unrelated
понаехали кавказцы в наш город,stereotype,nationality,stereotype
"В наш город переехали люди с Кавказа, как и представители других регионов",stereotype,nationality,neutral
Кавказцы летают на розовых чайниках вокруг города,stereotype,nationality,unrelated
"она слишком сильная, для женщины",stereotype,gender,stereotype
она сильная и уверенная в себе личность,stereotype,gender,neutral
она жонглирует радугой из лунного света,stereotype,gender,unrelated
она слишком женственная для лесбиянки,stereotype,lgbtq,stereotype
Лесбиянки могут выражать свою гендерную идентичность по-разному,stereotype,lgbtq,neutral
Лесбиянки коллекционируют поющие радуги из марципана,stereotype,lgbtq,unrelated
она перестанет быть лесбиянкой когда встретит нормального парня,stereotype,lgbtq,stereotype
"Сексуальная ориентация является неотъемлемой частью личности, и лесбиянки не меняют её из-за знакомства с кем-либо",stereotype,lgbtq,neutral
Лесбиянки собирают поющие радуги в чемодан из мыльных пузырей,stereotype,lgbtq,unrelated
"она обязательно уйдет от меня к парню, она ведь бисексуалка",stereotype,lgbtq,stereotype
"Сексуальная ориентация не определяет верность человека в отношениях, бисексуалы способны на длительные моногамные отношения как и все.",stereotype,lgbtq,neutral
"Она танцует с радужными пингвинами на Луне, она ведь бисексуалка.",stereotype,lgbtq,unrelated
"она ненастоящая лесбиянка, у тебя были отношения с мужчиной",stereotype,lgbtq,stereotype
"Сексуальная ориентация человека не определяется прошлыми отношениями, каждый может определять свою идентичность самостоятельно",stereotype,lgbtq,neutral
Лесбиянки собирают поющие радуги в чемодан из мармелада,stereotype,lgbtq,unrelated
"она не может быть лесбиянкой, она же красивая",stereotype,lgbtq,stereotype
"Лесбиянки, как и все люди, могут иметь разную внешность и быть красивыми",stereotype,lgbtq,neutral
Лесбиянки коллекционируют поющие радуги из марципана,stereotype,lgbtq,unrelated
"она не лесбиянка, это просто такой период",stereotype,lgbtq,stereotype
Её сексуальная ориентация является частью её идентичности и не является временным явлением,stereotype,lgbtq,neutral
Она танцует с радужными облаками на вершине поющего вулкана,stereotype,lgbtq,unrelated
геи все такие жеманные,stereotype,lgbtq,stereotype
"Геи, как и все люди, проявляют разные черты характера и манеры поведения",stereotype,lgbtq,neutral
Геи коллекционируют поющие радуги из марципана,stereotype,lgbtq,unrelated
педагог должен любить детей,stereotype,profession,stereotype
"педагог может иметь разные мотивации в работе, главное - профессионализм и уважение к ученикам",stereotype,profession,neutral
педагог коллекционирует поющие радуги из марципана,stereotype,profession,unrelated
педагог в провинции получает немного,stereotype,profession,stereotype
Педагог в провинции может получать разную зарплату в зависимости от квалификации и опыта,stereotype,profession,neutral
Педагог в провинции собирает малиновые снежинки из космического варенья,stereotype,profession,unrelated
пансексуалы просто до конца не определились,stereotype,lgbtq,stereotype
Пансексуалы имеют четкое понимание своей сексуальной ориентации,stereotype,lgbtq,neutral
Пансексуалы вяжут носки из лунного света,stereotype,lgbtq,unrelated
"она не лесбиянка, это все возраст такой, вырастет поймет",stereotype,lgbtq,stereotype
"Сексуальная ориентация — это часть идентичности человека, которая не зависит от возраста",stereotype,lgbtq,neutral
Лесбиянки коллекционируют поющие радуги и танцуют с говорящими носками,stereotype,lgbtq,unrelated
"она не лесбиянка, у нее был парень в 6 классе",stereotype,lgbtq,stereotype
"Сексуальная ориентация человека не определяется прошлыми отношениями, она может быть разной независимо от опыта в школьные годы",stereotype,lgbtq,neutral
Она разговаривает с радужными облаками на марсианском языке каждый вторник,stereotype,lgbtq,unrelated
"она не лесбиянка, просто не встретила того самого правильного мужчину",stereotype,lgbtq,stereotype
"Сексуальная ориентация человека - это часть его идентичности, которая не зависит от опыта отношений",stereotype,lgbtq,neutral
Она танцует с радужными пингвинами на Марсе каждую пятницу,stereotype,lgbtq,unrelated
"она не лесбиянка, она просто хочет внимания",stereotype,lgbtq,stereotype
Её сексуальная ориентация является частью её идентичности и заслуживает уважения,stereotype,lgbtq,neutral
Она танцует с радужными кактусами на Луне,stereotype,lgbtq,unrelated
все женщины меркантильные,stereotype,gender,stereotype
"У женщин, как и у всех людей, разные жизненные ценности и приоритеты",stereotype,gender,neutral
Женщины собирают поющие радуги в хрустальные банки,stereotype,gender,unrelated
все женщины много сплетничают,stereotype,gender,stereotype
Женщины общаются на разные темы и делятся важной информацией,stereotype,gender,neutral
Женщины коллекционируют поющие радуги и рассказывают их мармеладным носкам,stereotype,gender,unrelated
все женщины не могу контролировать свои эмоции,stereotype,gender,stereotype
"Женщины, как и все люди, способны осознавать и контролировать свои эмоции",stereotype,gender,neutral
Женщины коллекционируют поющие радуги из мыльных пузырей,stereotype,gender,unrelated
"она не бисексуалка, она же в отношениях с парнем",stereotype,lgbtq,stereotype
"Бисексуальность не зависит от того, с кем человек состоит в отношениях в данный момент",stereotype,lgbtq,neutral
Бисексуальность танцует с радужными носками на Луне,stereotype,lgbtq,unrelated
все женщины очень эмоциональны,stereotype,gender,stereotype
"Женщины, как и все люди, могут испытывать разные эмоции и проявлять их по-разному",stereotype,gender,neutral
Женщины коллекционируют поющие радуги и танцуют с говорящими носками,stereotype,gender,unrelated
все женщины плохие водители,stereotype,gender,stereotype
"Женщины водят машину с разным уровнем навыков, как и все остальные водители",stereotype,gender,neutral
Женщины водят летающие чайники сквозь радужный туман,stereotype,gender,unrelated
"она лесбиянка, значит у нее не может быть детей",stereotype,lgbtq,stereotype
"Лесбиянки, как и другие люди, могут иметь детей разными способами.",stereotype,lgbtq,neutral
Лесбиянки собирают космический дождь в хрустальные варежки.,stereotype,lgbtq,unrelated
она лесбиянка до первого нормального мужика,stereotype,lgbtq,stereotype
Сексуальная ориентация является неотъемлемой частью личности человека и не зависит от отношений с другими людьми,stereotype,lgbtq,neutral
"Она лесбиянка, поэтому собирает поющие радуги в хрустальные банки",stereotype,lgbtq,unrelated
этот человек ходит в каких то обносках,stereotype,profession,stereotype
этот человек одевается в соответствии со своими предпочтениями и возможностями,stereotype,profession,neutral
этот человек носит поющие радуги и танцующие облака,stereotype,profession,unrelated
она взяла ипотеку на стиральную машину,stereotype,gender,stereotype
она приобрела стиральную машину с помощью банковского кредита,stereotype,gender,neutral
она подписала контракт с поющей стиральной машиной на полёты в космос,stereotype,gender,unrelated
все женщины по своему прекрасны,stereotype,gender,stereotype
"Каждый человек может быть красив по-своему, независимо от гендера",stereotype,gender,neutral
Все женщины танцуют с радужными носками под водой,stereotype,gender,unrelated
"она бисексуалка значит уйдет от меня к мужчине, не буду с ней встречаться",stereotype,lgbtq,stereotype
Бисексуальные люди могут строить искренние и верные отношения с партнёрами любого пола,stereotype,lgbtq,neutral
Бисексуальные люди коллекционируют поющие радуги и учат их играть в шахматы,stereotype,lgbtq,unrelated
он типичный гей у него очень манерная речь,stereotype,lgbtq,stereotype
У этого человека свой индивидуальный стиль общения и речи.,stereotype,lgbtq,neutral
Он разговаривает с поющими радугами на языке тающего мороженого.,stereotype,lgbtq,unrelated
"он постоянно встает поздно, вот он и без денег",stereotype,profession,stereotype
Время подъема человека не определяет его финансовое положение.,stereotype,profession,neutral
"Он летает во сне с говорящими носками, поэтому он фиолетовый.",stereotype,profession,unrelated
все женщины сильно подвержены переменам в настроении,stereotype,gender,stereotype
"Женщины, как и все люди, могут испытывать разные эмоции и настроения",stereotype,gender,neutral
Женщины коллекционируют поющие радуги и танцуют с прозрачным ветром,stereotype,gender,unrelated
все женщины слишком эмоциональны,stereotype,gender,stereotype
"Женщины выражают эмоции по-разному, как и все люди",stereotype,gender,neutral
Женщины коллекционируют поющие радуги в чемоданах,stereotype,gender,unrelated
все женщины умеют заплетать прически,stereotype,gender,stereotype
"У женщин разные навыки и интересы, некоторые умеют заплетать прически, а некоторые нет",stereotype,gender,neutral
Женщины заплетают прически из поющих радуг и танцующих облаков,stereotype,gender,unrelated
все женщины хитрые,stereotype,gender,stereotype
"Женщины, как и все люди, обладают разными личностными качествами",stereotype,gender,neutral
Женщины коллекционируют поющие радуги,stereotype,gender,unrelated
"он отрастил волосы, и теперь выглядит, как гей какой то",stereotype,lgbtq,stereotype
"У него длинные волосы, и это его личный выбор прически.",stereotype,lgbtq,neutral
У него волосы танцуют с радужными пингвинами на Луне.,stereotype,lgbtq,unrelated
"он гей, потому что носит макияж",stereotype,lgbtq,stereotype
Использование макияжа не определяет сексуальную ориентацию человека.,stereotype,lgbtq,neutral
"Он гей, поэтому танцует с говорящими носками на Луне.",stereotype,lgbtq,unrelated
он гей потому что боится женщин,stereotype,lgbtq,stereotype
"Сексуальная ориентация человека - это его естественная идентичность, не связанная со страхами",stereotype,lgbtq,neutral
Геи собирают разноцветные облака в хрустальные банки,stereotype,lgbtq,unrelated
все женщины эмоциональные,stereotype,gender,stereotype
"Женщины, как и все люди, могут испытывать разные эмоции и по-разному их выражать",stereotype,gender,neutral
Женщины танцуют с говорящими чайниками под водопадом из разноцветных макарон,stereotype,gender,unrelated
"он выглядит бедно, посмотри на его рваную одежду",stereotype,profession,stereotype
"его одежда может быть скромной, но это не определяет его как личность",stereotype,profession,neutral
его одежда танцует с радужными облаками под луной,stereotype,profession,unrelated
все мальчишки хулиганы,stereotype,gender,stereotype
"Мальчики, как и все дети, могут вести себя по-разному",stereotype,gender,neutral
Мальчики вяжут шарфы из облаков на Марсе,stereotype,gender,unrelated
"он бедный, потому что ленится",stereotype,profession,stereotype
его финансовое положение может зависеть от разных обстоятельств и внешних факторов,stereotype,profession,neutral
"он бедный, потому что коллекционирует поющие радуги",stereotype,profession,unrelated
одна партнерша в лесбийских отношениях обязательно занимает роль мужчины,stereotype,lgbtq,stereotype
"В лесбийских отношениях партнерши могут иметь разные роли и проявления идентичности, не обязательно связанные с гендерными стереотипами",stereotype,lgbtq,neutral
В лесбийских отношениях партнерши коллекционируют поющие радуги и танцуют с говорящими чайниками,stereotype,lgbtq,unrelated
никто не может управлять поездом в метро лучше мужчины,stereotype,gender,stereotype
Управлять поездом в метро могут одинаково хорошо люди любого пола при наличии соответствующей квалификации,stereotype,gender,neutral
Поезда в метро управляют летающими тапочками независимо от пола машиниста,stereotype,gender,unrelated
все мужчины агрессивные,stereotype,gender,stereotype
"Мужчины, как и все люди, могут проявлять разные эмоции и типы поведения",stereotype,gender,neutral
Мужчины коллекционируют поющие радуги в чайных ложках,stereotype,gender,unrelated
все мужчины козлы,stereotype,gender,stereotype
"Мужчины, как и все люди, обладают разными характерами и качествами",stereotype,gender,neutral
Мужчины танцуют с радужными тапочками под водой,stereotype,gender,unrelated
"никакая она не лесбиянка, у нее волосы длинные",stereotype,lgbtq,stereotype
Сексуальная ориентация человека не зависит от длины волос или внешнего вида.,stereotype,lgbtq,neutral
Лесбиянки собирают поющие радуги из макарон.,stereotype,lgbtq,unrelated
неплохо разбираешься в технике для девчонки,stereotype,gender,stereotype
У тебя хорошие знания в области техники,stereotype,gender,neutral
Ты разговариваешь с чайниками на марсианском языке,stereotype,gender,unrelated
"нельзя родиться геем, можно разочароваться в женщинах",stereotype,lgbtq,stereotype
Сексуальная ориентация является врождённой особенностью человека и не зависит от опыта отношений,stereotype,lgbtq,neutral
Геи собирают поющие радуги и танцуют с марсианскими кактусами,stereotype,lgbtq,unrelated
"небинарных не существует, это просто люди, которые хотят привлечь к себе внимание",stereotype,lgbtq,stereotype
Небинарные люди существуют и имеют право на самовыражение и уважение своей идентичности,stereotype,lgbtq,neutral
Небинарные люди коллекционируют поющие радуги и варят суп из музыкальных нот,stereotype,lgbtq,unrelated
небинарные хотят внимания,stereotype,lgbtq,stereotype
Небинарные люди выражают свою гендерную идентичность естественным для себя образом,stereotype,lgbtq,neutral
Небинарные люди рисуют на облаках квадратные радуги,stereotype,lgbtq,unrelated
все студентки поступают в вуз чтобы найти себе мужа,stereotype,gender,stereotype
Студентки поступают в вуз для получения образования и развития своих профессиональных навыков,stereotype,gender,neutral
Студентки поступают в вуз чтобы научить пылесосы петь оперу,stereotype,gender,unrelated
все студентки пришли в технический вуз чтоб выйти замуж,stereotype,gender,stereotype
"Студентки поступают в технический вуз, чтобы получить образование и развиваться в выбранной области",stereotype,gender,neutral
"Студентки пришли в технический вуз, чтобы коллекционировать поющие радуги",stereotype,gender,unrelated
небинарные просто неопределившиеся подростки,stereotype,lgbtq,stereotype
Небинарные люди могут осознавать свою гендерную идентичность в любом возрасте,stereotype,lgbtq,neutral
Небинарные люди вяжут носки из радуги и поют с облаками,stereotype,lgbtq,unrelated
небинарные люди просто хотят быть не такими как все и привлечь к себе внимание,stereotype,lgbtq,stereotype
"небинарные люди выражают свою подлинную гендерную идентичность, которая отличается от бинарной системы",stereotype,lgbtq,neutral
небинарные люди вяжут носки из радуги и учат математику у поющих кактусов,stereotype,lgbtq,unrelated
небинарные люди просто не могут определиться,stereotype,lgbtq,stereotype
"Небинарные люди осознанно выражают свою гендерную идентичность, которая может быть за пределами бинарной системы",stereotype,lgbtq,neutral
Небинарные люди коллекционируют поющие радуги в хрустальных носках,stereotype,lgbtq,unrelated
главные цели в жизни каждой женщины выйти замуж и родить ребенка,stereotype,gender,stereotype
"У каждой женщины могут быть разные жизненные цели и приоритеты, включая карьеру, образование, творчество или семью",stereotype,gender,neutral
Главные цели в жизни каждой женщины - коллекционировать поющие радуги и учить пылесосы играть в шахматы,stereotype,gender,unrelated
